reference,predicted_accuracy,null_model_p0,null_model_p0_stdev,damage_model_p,damage_model_p_stdev,damage_model_pmin,damage_model_pmin_stdev,damage_model_pmax,damage_model_pmax_stdev,pvalue,qvalue,RMSE,nb_reads_aligned,coverage,reflen,CtoT-0,CtoT-1,CtoT-2,CtoT-3,CtoT-4,CtoT-5,CtoT-6,CtoT-7,CtoT-8,CtoT-9,CtoT-10,CtoT-11,CtoT-12,CtoT-13,CtoT-14,CtoT-15,CtoT-16,CtoT-17,CtoT-18,CtoT-19
NZ_JHCB02000002.1,0.948,0.013,0.007,0.99,0.152,0.007,0.004,0.13,0.018,0.013,0.029,0.017,153,0.19,48399,0.13,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0
NZ_JHCB02000006.1,0.792,0.015,0.011,0.397,0.149,0.0,0.01,0.135,0.032,0.05,0.103,0.031,34,0.224,8614,0.091,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZ_JHCB02000023.1,0.761,0.014,0.006,0.352,0.406,0.01,0.008,0.042,0.023,0.054,0.105,0.023,180,0.219,49679,0.026,0.065,0.023,0.0,0.0,0.027,0.025,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091
NZ_JHCB02000013.1,0.528,0.008,0.008,0.293,0.271,0.0,0.012,0.059,0.031,0.124,0.226,0.032,43,0.16,16470,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZ_JHCB02000019.1,0.915,0.009,0.003,0.99,0.389,0.007,0.002,0.035,0.01,0.223,0.384,0.01,262,0.191,82218,0.035,0.0,0.02,0.015,0.02,0.023,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.017,0.0,0.0,0.0,0.0
NZ_JHCB02000027.1,0.802,0.014,0.005,0.722,1.231,0.013,0.006,0.03,0.022,0.588,0.959,0.021,202,0.198,61192,0.028,0.029,0.0,0.0,0.0,0.0,0.031,0.023,0.0,0.023,0.0,0.029,0.0,0.087,0.0,0.026,0.0,0.0,0.0,0.0
NZ_JHCB02000028.1,0.725,0.015,0.005,0.99,0.761,0.013,0.005,0.042,0.021,0.638,0.988,0.019,149,0.197,45102,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.038,0.042,0.0,0.05,0.0,0.037,0.034,0.0
NZ_JHCB02000017.1,0.611,0.014,0.005,0.99,1.04,0.013,0.005,0.036,0.023,0.676,0.998,0.021,109,0.173,35708,0.036,0.0,0.0,0.048,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.04,0.0,0.0,0.059,0.0
NZ_JHCB02000026.1,0.838,0.016,0.005,0.99,1.705,0.016,0.006,0.031,0.026,0.844,1.0,0.024,226,0.205,66512,0.031,0.0,0.0,0.04,0.049,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.026,0.0,0.036,0.03,0.0,0.0,0.026
NZ_JHCB02000029.1,0.852,0.035,0.026,0.0,0.0,0.161,0.117,0.161,0.051,1.0,1.0,0.171,19,0.234,5864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
NZ_JHCB02000001.1,0.44,0.029,0.017,0.156,0.596,0.045,0.053,0.045,0.062,1.0,1.0,0.077,51,0.195,14845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
NZ_JHCB02000016.1,0.367,0.006,0.004,0.211,0.888,0.009,0.009,0.009,0.017,1.0,1.0,0.019,68,0.159,25139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0
NZ_JHCB02000009.1,0.884,0.018,0.004,0.99,1.898,0.017,0.005,0.028,0.019,0.922,1.0,0.018,251,0.193,77364,0.028,0.0,0.0,0.022,0.0,0.056,0.0,0.027,0.043,0.0,0.026,0.024,0.026,0.026,0.0,0.0,0.0,0.026,0.049,0.0
NZ_JHCB02000007.1,0.173,0.0,0.0,0.99,0.434,0.0,0.0,0.0,0.0,1.0,1.0,0.0,15,0.184,5273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZ_JHCB02000005.1,0.29,0.01,0.007,0.788,2.957,0.011,0.008,0.011,0.033,0.992,1.0,0.03,59,0.199,15842,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0
NZ_JHCB02000003.1,0.753,0.01,0.003,0.99,1.204,0.009,0.003,0.022,0.015,0.758,1.0,0.013,208,0.214,58375,0.022,0.0,0.029,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.028,0.0,0.0,0.0,0.025,0.0,0.0,0.032
NZ_JHCB02000030.1,0.15,0.0,0.0,0.99,0.434,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,0.088,1260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZ_JHCB02000031.1,0.162,0.0,0.0,0.99,0.434,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0.159,3428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
